#,,,,,
pl_name,ra,dec,sy_dist,sy_disterr1,sy_disterr2
GJ 357 d,144.0074644,-21.6650634,9.44181,0.00511,-0.00511
GJ 3634 b,164.6433493,-31.1443383,20.3779,0.03165,-0.03165
GJ 367 b,146.121464,-45.7790165,9.41263,0.002835,-0.002835
GJ 367 c,146.121464,-45.7790165,9.41263,0.002835,-0.002835
GJ 367 d,146.121464,-45.7790165,9.41263,0.002835,-0.002835
GJ 3779 b,200.7335358,24.4639425,13.743,0.0117,-0.0116
GJ 3929 b,239.5775678,35.4081141,15.8095,0.0096,-0.0095
GJ 3929 c,239.5775678,35.4081141,15.8095,0.0096,-0.0095
GJ 393 b,157.2288672,0.8378485,7.03149,0.002485,-0.002485
GJ 3942 b,242.2645452,52.9441443,16.9287,0.00635,-0.00635
GJ 3988 b,255.8503747,51.4089795,9.9105,0.00416,-0.00416
GJ 3998 b,259.0020507,11.0561751,18.1459,0.0165,-0.0165
GJ 3998 c,259.0020507,11.0561751,18.1459,0.0165,-0.0165
GJ 411 b,165.834471,35.972317,5.675773,0.0059099,-0.0059099
GJ 414 A b,167.7745044,30.4451688,11.8893,0.0067,-0.0067
GJ 414 A c,167.7745044,30.4451688,11.8893,0.0067,-0.0067
GJ 422 b,168.9810458,-57.5425629,12.6631,0.0072,-0.0073
GJ 4276 b,336.3221454,59.412503,21.3362,0.0172,-0.0172
GJ 433 b,173.8619194,-32.5436302,9.06456,0.00367,-0.00367
GJ 433 c,173.8619194,-32.5436302,9.06456,0.00367,-0.00367
GJ 433 d,173.8619194,-32.5436302,9.06456,0.00367,-0.00367
GJ 436 b,175.5505363,26.7030669,9.75321,0.00898,-0.00896
GJ 463 b,185.7440496,64.0324311,18.3554,0.0109,-0.0109
GJ 480 b,189.7134226,11.6950708,14.2358,0.01515,-0.01515
GJ 486 b,191.981531,9.7494181,8.07426,0.004095,-0.004095
GJ 504 b,199.192348,9.4249781,17.5299,0.0785,-0.0778
GJ 514 b,202.5040424,10.3725387,7.61778,0.003175,-0.003175
